license plate,brand,model,color,model year
ZP550AA,Suzuki,Ignis,green,2015
ZP563BD,Citroen,C5 Aircross,yellow,2016
ZP576CG,Dacia,Logan,orange,2017
ZP589DJ,Alfa Romeo,Stelvio,brown,2018
ZP602EM,Lancia,Ypsilon,beige,2019
ZP615FP,Jeep,Cherokee,purple,2020
ZP628GT,Mini,Clubman,red,2021
ZP641HW,Subaru,Outback,blue,2022
ZP654IZ,Mitsubishi,Eclipse Cross,white,2023
ZP667JC,Tesla,Model S,black,2024
ZP680KF,Fiat,Tipo,grey,2005
ZP693LI,Volkswagen,Tiguan,silver,2006
ZP706ML,Toyota,RAV4,green,2007
ZP719NO,Ford,Puma,yellow,2008
ZP732OS,Renault,Kadjar,orange,2009
ZP745PV,Peugeot,3008,brown,2010
ZR758RY,Opel,Crossland,beige,2011
ZR771SB,BMW,X1,purple,2012
ZR784TE,Mercedes,GLA,red,2013
ZR797UH,Audi,Q3,blue,2014
ZR810VK,Honda,CR-V,white,2015
ZR823WN,Hyundai,Tucson,black,2016
ZR836XR,Kia,Sportage,grey,2017
ZR849YU,Nissan,Leaf,silver,2018
ZR862ZX,Seat,Ateca,green,2019
ZR875AA,Skoda,Karoq,yellow,2020
ZR888BD,Volvo,XC60,orange,2021
ZR901CG,Mazda,CX-5,brown,2022
ZR914DJ,Suzuki,Baleno,beige,2023
ZR927EM,Citroen,Berlingo,purple,2024
ZR940FP,Dacia,Spring,red,2005
ZR953GT,Alfa Romeo,Tonale,blue,2006
ZR966HW,Lancia,Ypsilon,white,2007
ZR979IZ,Jeep,Wrangler,black,2008
ZR992JC,Mini,Paceman,grey,2009
ZR105KF,Subaru,XV,silver,2010
ZR118LI,Mitsubishi,Outlander,green,2011
ZR131ML,Tesla,Model X,yellow,2012
ZR144NO,Fiat,Punto,orange,2013
ZR157OS,Volkswagen,Golf,brown,2014
ZR170PV,Toyota,Yaris,beige,2015
ZR183RY,Ford,Focus,purple,2016
ZS196SB,Renault,Clio,red,2017
ZS209TE,Peugeot,208,blue,2018
ZS222UH,Opel,Corsa,white,2019
ZS235VK,BMW,Serie 1,black,2020
ZS248WN,Mercedes,Classe A,grey,2021
ZS261XR,Audi,A1,silver,2022
ZS274YU,Honda,Civic,green,2023
ZS287ZX,Hyundai,i10,yellow,2024
ZS300AA,Kia,Picanto,orange,2005
ZS313BD,Nissan,Micra,brown,2006
ZS326CG,Seat,Ibiza,beige,2007
ZS339DJ,Skoda,Fabia,purple,2008
ZS352EM,Volvo,V40,red,2009
ZS365FP,Mazda,2,blue,2010
ZS378GT,Suzuki,Swift,white,2011
ZS391HW,Citroen,C3,black,2012
ZS404IZ,Dacia,Sandero,grey,2013
ZS417JC,Alfa Romeo,Giulietta,silver,2014
ZS430KF,Lancia,Ypsilon,green,2015
ZS443LI,Jeep,Renegade,yellow,2016
ZS456ML,Mini,Cooper,orange,2017
ZS469NO,Subaru,Impreza,brown,2018
ZS482OS,Mitsubishi,Colt,beige,2019
ZS495PV,Tesla,Model 3,purple,2020
ZS508RY,Fiat,500,red,2021
ZS521SB,Volkswagen,Polo,blue,2022
ZT534TE,Toyota,Corolla,white,2023
ZT547UH,Ford,Fiesta,black,2024
ZT560VK,Renault,Megane,grey,2005
ZT573WN,Peugeot,308,silver,2006
ZT586XR,Opel,Astra,green,2007
ZT599YU,BMW,Serie 3,yellow,2008
ZT612ZX,Mercedes,Classe B,orange,2009
ZT625AA,Audi,A3,brown,2010
ZT638BD,Honda,Jazz,beige,2011
ZT651CG,Hyundai,i20,purple,2012
ZT664DJ,Kia,Stonic,red,2013
ZT677EM,Nissan,Juke,blue,2014
ZT690FP,Seat,Arona,white,2015
ZT703GT,Skoda,Scala,black,2016
ZT716HW,Volvo,XC40,grey,2017
ZT729IZ,Mazda,3,silver,2018
ZT742JC,Suzuki,Vitara,green,2019
ZT755KF,Citroen,C4,yellow,2020
ZT768LI,Dacia,Duster,orange,2021
ZT781ML,Alfa Romeo,Giulia,brown,2022
ZT794NO,Lancia,Ypsilon,beige,2023
ZT807OS,Jeep,Compass,purple,2024
ZT820PV,Mini,Countryman,red,2005
ZT833RY,Subaru,Forester,blue,2006
ZT846SB,Mitsubishi,ASX,white,2007
ZT859TE,Tesla,Model Y,black,2008
ZU872UH,Fiat,Panda,grey,2009
ZU885VK,Volkswagen,Passat,silver,2010
ZU898WN,Toyota,Auris,green,2011
ZU911XR,Ford,Kuga,yellow,2012
ZU924YU,Renault,Captur,orange,2013
ZU937ZX,Peugeot,2008,brown,2014
ZU950AA,Opel,Mokka,beige,2015
ZU963BD,BMW,Serie 5,purple,2016
ZU976CG,Mercedes,Classe C,red,2017
ZU989DJ,Audi,A4,blue,2018
ZU102EM,Honda,HR-V,white,2019
ZU115FP,Hyundai,i30,black,2020
ZU128GT,Kia,Ceed,grey,2021
ZU141HW,Nissan,Qashqai,silver,2022
ZU154IZ,Seat,Leon,green,2023
ZU167JC,Skoda,Octavia,yellow,2024
ZU180KF,Volvo,V60,orange,2005
ZU193LI,Mazda,CX-3,brown,2006
ZU206ML,Suzuki,Ignis,beige,2007
ZU219NO,Citroen,C5 Aircross,purple,2008
ZU232OS,Dacia,Logan,red,2009
ZU245PV,Alfa Romeo,Stelvio,blue,2010
ZU258RY,Lancia,Ypsilon,white,2011
ZU271SB,Jeep,Cherokee,black,2012
ZU284TE,Mini,Clubman,grey,2013
ZU297UH,Subaru,Outback,silver,2014
ZV310VK,Mitsubishi,Eclipse Cross,green,2015
ZV323WN,Tesla,Model S,yellow,2016
ZV336XR,Fiat,Tipo,orange,2017
ZV349YU,Volkswagen,Tiguan,brown,2018
ZV362ZX,Toyota,RAV4,beige,2019
ZV375AA,Ford,Puma,purple,2020
ZV388BD,Renault,Kadjar,red,2021
ZV401CG,Peugeot,3008,blue,2022
ZV414DJ,Opel,Crossland,white,2023
ZV427EM,BMW,X1,black,2024
ZV440FP,Mercedes,GLA,grey,2005
ZV453GT,Audi,Q3,silver,2006
ZV466HW,Honda,CR-V,green,2007
ZV479IZ,Hyundai,Tucson,yellow,2008
ZV492JC,Kia,Sportage,orange,2009
ZV505KF,Nissan,Leaf,brown,2010
ZV518LI,Seat,Ateca,beige,2011
ZV531ML,Skoda,Karoq,purple,2012
ZV544NO,Volvo,XC60,red,2013
ZV557OS,Mazda,CX-5,blue,2014
ZV570PV,Suzuki,Baleno,white,2015
ZV583RY,Citroen,Berlingo,black,2016
ZV596SB,Dacia,Spring,grey,2017
ZV609TE,Alfa Romeo,Tonale,silver,2018
ZV622UH,Lancia,Ypsilon,green,2019
ZV635VK,Jeep,Wrangler,yellow,2020
ZW648WN,Mini,Paceman,orange,2021
ZW661XR,Subaru,XV,brown,2022
ZW674YU,Mitsubishi,Outlander,beige,2023
ZW687ZX,Tesla,Model X,purple,2024
ZW700AA,Fiat,Punto,red,2005
ZW713BD,Volkswagen,Golf,blue,2006
ZW726CG,Toyota,Yaris,white,2007
ZW739DJ,Ford,Focus,black,2008
ZW752EM,Renault,Clio,grey,2009
ZW765FP,Peugeot,208,silver,2010
ZW778GT,Opel,Corsa,green,2011
ZW791HW,BMW,Serie 1,yellow,2012
ZW804IZ,Mercedes,Classe A,orange,2013
ZW817JC,Audi,A1,brown,2014
ZW830KF,Honda,Civic,beige,2015
ZW843LI,Hyundai,i10,purple,2016
ZW856ML,Kia,Picanto,red,2017
ZW869NO,Nissan,Micra,blue,2018
ZW882OS,Seat,Ibiza,white,2019
ZW895PV,Skoda,Fabia,black,2020
ZW908RY,Volvo,V40,grey,2021
ZW921SB,Mazda,2,silver,2022
ZW934TE,Suzuki,Swift,green,2023
ZW947UH,Citroen,C3,yellow,2024
ZW960VK,Dacia,Sandero,orange,2005
ZW973WN,Alfa Romeo,Giulietta,brown,2006
ZX986XR,Lancia,Ypsilon,beige,2007
ZX999YU,Jeep,Renegade,purple,2008
ZX112ZX,Mini,Cooper,red,2009
ZX125AA,Subaru,Impreza,blue,2010
ZX138BD,Mitsubishi,Colt,white,2011
ZX151CG,Tesla,Model 3,black,2012
ZX164DJ,Fiat,500,grey,2013
ZX177EM,Volkswagen,Polo,silver,2014
ZX190FP,Toyota,Corolla,green,2015
ZX203GT,Ford,Fiesta,yellow,2016
ZX216HW,Renault,Megane,orange,2017
ZX229IZ,Peugeot,308,brown,2018
ZX242JC,Opel,Astra,beige,2019
ZX255KF,BMW,Serie 3,purple,2020
ZX268LI,Mercedes,Classe B,red,2021
ZX281ML,Audi,A3,blue,2022
ZX294NO,Honda,Jazz,white,2023
ZX307OS,Hyundai,i20,black,2024
ZX320PV,Kia,Stonic,grey,2005
ZX333RY,Nissan,Juke,silver,2006
ZX346SB,Seat,Arona,green,2007
ZX359TE,Skoda,Scala,yellow,2008
ZX372UH,Volvo,XC40,orange,2009
ZX385VK,Mazda,3,brown,2010
ZX398WN,Suzuki,Vitara,beige,2011
ZX411XR,Citroen,C4,purple,2012
ZY424YU,Dacia,Duster,red,2013
ZY437ZX,Alfa Romeo,Giulia,blue,2014
ZY450AA,Lancia,Ypsilon,white,2015
ZY463BD,Jeep,Compass,black,2016
ZY476CG,Mini,Countryman,grey,2017
ZY489DJ,Subaru,Forester,silver,2018
ZY502EM,Mitsubishi,ASX,green,2019
ZY515FP,Tesla,Model Y,yellow,2020
ZY528GT,Fiat,Panda,orange,2021
ZY541HW,Volkswagen,Passat,brown,2022
ZY554IZ,Toyota,Auris,beige,2023
ZY567JC,Ford,Kuga,purple,2024
ZY580KF,Renault,Captur,red,2005
ZY593LI,Peugeot,2008,blue,2006
ZY606ML,Opel,Mokka,white,2007
ZY619NO,BMW,Serie 5,black,2008
ZY632OS,Mercedes,Classe C,grey,2009
ZY645PV,Audi,A4,silver,2010
ZY658RY,Honda,HR-V,green,2011
ZY671SB,Hyundai,i30,yellow,2012
ZY684TE,Kia,Ceed,orange,2013
ZY697UH,Nissan,Qashqai,brown,2014
ZY710VK,Seat,Leon,beige,2015
ZY723WN,Skoda,Octavia,purple,2016
ZY736XR,Volvo,V60,red,2017
ZY749YU,Mazda,CX-3,blue,2018
ZZ762ZX,Suzuki,Ignis,white,2019
ZZ775AA,Citroen,C5 Aircross,black,2020
ZZ788BD,Dacia,Logan,grey,2021
ZZ801CG,Alfa Romeo,Stelvio,silver,2022
ZZ814DJ,Lancia,Ypsilon,green,2023
ZZ827EM,Jeep,Cherokee,yellow,2024
ZZ840FP,Mini,Clubman,orange,2005
ZZ853GT,Subaru,Outback,brown,2006
ZZ866HW,Mitsubishi,Eclipse Cross,beige,2007
ZZ879IZ,Tesla,Model S,purple,2008
ZZ892JC,Fiat,Tipo,red,2009
ZZ905KF,Volkswagen,Tiguan,blue,2010
ZZ918LI,Toyota,RAV4,white,2011
ZZ931ML,Ford,Puma,black,2012
ZZ944NO,Renault,Kadjar,grey,2013
ZZ957OS,Peugeot,3008,silver,2014
ZZ970PV,Opel,Crossland,green,2015
ZZ983RY,BMW,X1,yellow,2016
ZZ996SB,Mercedes,GLA,orange,2017
ZZ109TE,Audi,Q3,brown,2018
ZZ122UH,Honda,CR-V,beige,2019
ZZ135VK,Hyundai,Tucson,purple,2020
ZZ148WN,Kia,Sportage,red,2021
ZZ161XR,Nissan,Leaf,blue,2022
ZZ174YU,Seat,Ateca,white,2023
ZZ187ZX,Skoda,Karoq,black,2024
AA200AA,Volvo,XC60,grey,2005
AA213BD,Mazda,CX-5,silver,2006
AA226CG,Suzuki,Baleno,green,2007
AA239DJ,Citroen,Berlingo,yellow,2008
AA252EM,Dacia,Spring,orange,2009
AA265FP,Alfa Romeo,Tonale,brown,2010
AA278GT,Lancia,Ypsilon,beige,2011
AA291HW,Jeep,Wrangler,purple,2012
AA304IZ,Mini,Paceman,red,2013
AA317JC,Subaru,XV,blue,2014
AA330KF,Mitsubishi,Outlander,white,2015
AA343LI,Tesla,Model X,black,2016
AA356ML,Fiat,Punto,grey,2017
AA369NO,Volkswagen,Golf,silver,2018
AA382OS,Toyota,Yaris,green,2019
AA395PV,Ford,Focus,yellow,2020
AA408RY,Renault,Clio,orange,2021
AA421SB,Peugeot,208,brown,2022
AA434TE,Opel,Corsa,beige,2023
AA447UH,BMW,Serie 1,purple,2024
AA460VK,Mercedes,Classe A,red,2005
AA473WN,Audi,A1,blue,2006
AA486XR,Honda,Civic,white,2007
AA499YU,Hyundai,i10,black,2008
AA512ZX,Kia,Picanto,grey,2009
AA525AA,Nissan,Micra,silver,2010
AB538BD,Seat,Ibiza,green,2011
AB551CG,Skoda,Fabia,yellow,2012
AB564DJ,Volvo,V40,orange,2013
AB577EM,Mazda,2,brown,2014
AB590FP,Suzuki,Swift,beige,2015
AB603GT,Citroen,C3,purple,2016
AB616HW,Dacia,Sandero,red,2017
AB629IZ,Alfa Romeo,Giulietta,blue,2018
AB642JC,Lancia,Ypsilon,white,2019
AB655KF,Jeep,Renegade,black,2020
AB668LI,Mini,Cooper,grey,2021
AB681ML,Subaru,Impreza,silver,2022
AB694NO,Mitsubishi,Colt,green,2023
AB707OS,Tesla,Model 3,yellow,2024
AB720PV,Fiat,500,orange,2005
AB733RY,Volkswagen,Polo,brown,2006
AB746SB,Toyota,Corolla,beige,2007
AB759TE,Ford,Fiesta,purple,2008
AB772UH,Renault,Megane,red,2009
AB785VK,Peugeot,308,blue,2010
AB798WN,Opel,Astra,white,2011
AB811XR,BMW,Serie 3,black,2012
AB824YU,Mercedes,Classe B,grey,2013
AB837ZX,Audi,A3,silver,2014
AB850AA,Honda,Jazz,green,2015
AB863BD,Hyundai,i20,yellow,2016
AC876CG,Kia,Stonic,orange,2017
AC889DJ,Nissan,Juke,brown,2018
AC902EM,Seat,Arona,beige,2019
AC915FP,Skoda,Scala,purple,2020
AC928GT,Volvo,XC40,red,2021
AC941HW,Mazda,3,blue,2022
AC954IZ,Suzuki,Vitara,white,2023
AC967JC,Citroen,C4,black,2024
AC980KF,Dacia,Duster,grey,2005
AC993LI,Alfa Romeo,Giulia,silver,2006
AC106ML,Lancia,Ypsilon,green,2007
AC119NO,Jeep,Compass,yellow,2008
AC132OS,Mini,Countryman,orange,2009
AC145PV,Subaru,Forester,brown,2010
AC158RY,Mitsubishi,ASX,beige,2011
AC171SB,Tesla,Model Y,purple,2012
AC184TE,Fiat,Panda,red,2013
AC197UH,Volkswagen,Passat,blue,2014
AC210VK,Toyota,Auris,white,2015
AC223WN,Ford,Kuga,black,2016
AC236XR,Renault,Captur,grey,2017
AC249YU,Peugeot,2008,silver,2018
AC262ZX,Opel,Mokka,green,2019
AC275AA,BMW,Serie 5,yellow,2020
AC288BD,Mercedes,Classe C,orange,2021
AC301CG,Audi,A4,brown,2022
AD314DJ,Honda,HR-V,beige,2023
AD327EM,Hyundai,i30,purple,2024
AD340FP,Kia,Ceed,red,2005
AD353GT,Nissan,Qashqai,blue,2006
AD366HW,Seat,Leon,white,2007
AD379IZ,Skoda,Octavia,black,2008
AD392JC,Volvo,V60,grey,2009
AD405KF,Mazda,CX-3,silver,2010
AD418LI,Suzuki,Ignis,green,2011
AD431ML,Citroen,C5 Aircross,yellow,2012
AD444NO,Dacia,Logan,orange,2013
AD457OS,Alfa Romeo,Stelvio,brown,2014
AD470PV,Lancia,Ypsilon,beige,2015
AD483RY,Jeep,Cherokee,purple,2016
AD496SB,Mini,Clubman,red,2017
AD509TE,Subaru,Outback,blue,2018
AD522UH,Mitsubishi,Eclipse Cross,white,2019
AD535VK,Tesla,Model S,black,2020
AD548WN,Fiat,Tipo,grey,2021
AD561XR,Volkswagen,Tiguan,silver,2022
AD574YU,Toyota,RAV4,green,2023
AD587ZX,Ford,Puma,yellow,2024
AD600AA,Renault,Kadjar,orange,2005
AD613BD,Peugeot,3008,brown,2006
AD626CG,Opel,Crossland,beige,2007
AD639DJ,BMW,X1,purple,2008
AE652EM,Mercedes,GLA,red,2009
AE665FP,Audi,Q3,blue,2010
AE678GT,Honda,CR-V,white,2011
AE691HW,Hyundai,Tucson,black,2012
AE704IZ,Kia,Sportage,grey,2013
AE717JC,Nissan,Leaf,silver,2014
AE730KF,Seat,Ateca,green,2015
AE743LI,Skoda,Karoq,yellow,2016
AE756ML,Volvo,XC60,orange,2017
AE769NO,Mazda,CX-5,brown,2018
AE782OS,Suzuki,Baleno,beige,2019
AE795PV,Citroen,Berlingo,purple,2020
AE808RY,Dacia,Spring,red,2021
AE821SB,Alfa Romeo,Tonale,blue,2022
AE834TE,Lancia,Ypsilon,white,2023
AE847UH,Jeep,Wrangler,black,2024
AE860VK,Mini,Paceman,grey,2005
AE873WN,Subaru,XV,silver,2006
AE886XR,Mitsubishi,Outlander,green,2007
AE899YU,Tesla,Model X,yellow,2008
AE912ZX,Fiat,Punto,orange,2009
AE925AA,Volkswagen,Golf,brown,2010
AE938BD,Toyota,Yaris,beige,2011
AE951CG,Ford,Focus,purple,2012
AE964DJ,Renault,Clio,red,2013
AE977EM,Peugeot,208,blue,2014
AF990FP,Opel,Corsa,white,2015
AF103GT,BMW,Serie 1,black,2016
AF116HW,Mercedes,Classe A,grey,2017
AF129IZ,Audi,A1,silver,2018
AF142JC,Honda,Civic,green,2019
AF155KF,Hyundai,i10,yellow,2020
AF168LI,Kia,Picanto,orange,2021
AF181ML,Nissan,Micra,brown,2022
AF194NO,Seat,Ibiza,beige,2023
AF207OS,Skoda,Fabia,purple,2024
AF220PV,Volvo,V40,red,2005
AF233RY,Mazda,2,blue,2006
AF246SB,Suzuki,Swift,white,2007
AF259TE,Citroen,C3,black,2008
AF272UH,Dacia,Sandero,grey,2009
AF285VK,Alfa Romeo,Giulietta,silver,2010
AF298WN,Lancia,Ypsilon,green,2011
AF311XR,Jeep,Renegade,yellow,2012
AF324YU,Mini,Cooper,orange,2013
AF337ZX,Subaru,Impreza,brown,2014
AF350AA,Mitsubishi,Colt,beige,2015
AF363BD,Tesla,Model 3,purple,2016
AF376CG,Fiat,500,red,2017
AF389DJ,Volkswagen,Polo,blue,2018
AF402EM,Toyota,Corolla,white,2019
AF415FP,Ford,Fiesta,black,2020
AG428GT,Renault,Megane,grey,2021
AG441HW,Peugeot,308,silver,2022
AG454IZ,Opel,Astra,green,2023
AG467JC,BMW,Serie 3,yellow,2024
AG480KF,Mercedes,Classe B,orange,2005
AG493LI,Audi,A3,brown,2006
AG506ML,Honda,Jazz,beige,2007
AG519NO,Hyundai,i20,purple,2008
AG532OS,Kia,Stonic,red,2009
AG545PV,Nissan,Juke,blue,2010
AG558RY,Seat,Arona,white,2011
AG571SB,Skoda,Scala,black,2012
AG584TE,Volvo,XC40,grey,2013
AG597UH,Mazda,3,silver,2014
AG610VK,Suzuki,Vitara,green,2015
AG623WN,Citroen,C4,yellow,2016
AG636XR,Dacia,Duster,orange,2017
AG649YU,Alfa Romeo,Giulia,brown,2018
AG662ZX,Lancia,Ypsilon,beige,2019
AG675AA,Jeep,Compass,purple,2020
AG688BD,Mini,Countryman,red,2021
AG701CG,Subaru,Forester,blue,2022
AG714DJ,Mitsubishi,ASX,white,2023
AG727EM,Tesla,Model Y,black,2024
AG740FP,Fiat,Panda,grey,2005
AG753GT,Volkswagen,Passat,silver,2006
AH766HW,Toyota,Auris,green,2007
AH779IZ,Ford,Kuga,yellow,2008
AH792JC,Renault,Captur,orange,2009
AH805KF,Peugeot,2008,brown,2010
AH818LI,Opel,Mokka,beige,2011
AH831ML,BMW,Serie 5,purple,2012
AH844NO,Mercedes,Classe C,red,2013
AH857OS,Audi,A4,blue,2014
AH870PV,Honda,HR-V,white,2015
AH883RY,Hyundai,i30,black,2016
AH896SB,Kia,Ceed,grey,2017
AH909TE,Nissan,Qashqai,silver,2018
AH922UH,Seat,Leon,green,2019
AH935VK,Skoda,Octavia,yellow,2020
AH948WN,Volvo,V60,orange,2021
AH961XR,Mazda,CX-3,brown,2022
AH974YU,Suzuki,Ignis,beige,2023
AH987ZX,Citroen,C5 Aircross,purple,2024
AH100AA,Dacia,Logan,red,2005
AH113BD,Alfa Romeo,Stelvio,blue,2006
AH126CG,Lancia,Ypsilon,white,2007
AH139DJ,Jeep,Cherokee,black,2008
AH152EM,Mini,Clubman,grey,2009
AH165FP,Subaru,Outback,silver,2010
AH178GT,Mitsubishi,Eclipse Cross,green,2011
AH191HW,Tesla,Model S,yellow,2012
AI204IZ,Fiat,Tipo,orange,2013
AI217JC,Volkswagen,Tiguan,brown,2014
AI230KF,Toyota,RAV4,beige,2015
AI243LI,Ford,Puma,purple,2016
AI256ML,Renault,Kadjar,red,2017
AI269NO,Peugeot,3008,blue,2018
AI282OS,Opel,Crossland,white,2019
AI295PV,BMW,X1,black,2020
AI308RY,Mercedes,GLA,grey,2021
AI321SB,Audi,Q3,silver,2022
AI334TE,Honda,CR-V,green,2023
AI347UH,Hyundai,Tucson,yellow,2024
AI360VK,Kia,Sportage,orange,2005
AI373WN,Nissan,Leaf,brown,2006
AI386XR,Seat,Ateca,beige,2007
AI399YU,Skoda,Karoq,purple,2008
AI412ZX,Volvo,XC60,red,2009
AI425AA,Mazda,CX-5,blue,2010
AI438BD,Suzuki,Baleno,white,2011
AI451CG,Citroen,Berlingo,black,2012
AI464DJ,Dacia,Spring,grey,2013
AI477EM,Alfa Romeo,Tonale,silver,2014
AI490FP,Lancia,Ypsilon,green,2015
AI503GT,Jeep,Wrangler,yellow,2016
AI516HW,Mini,Paceman,orange,2017
AI529IZ,Subaru,XV,brown,2018
AJ542JC,Mitsubishi,Outlander,beige,2019
AJ555KF,Tesla,Model X,purple,2020
AJ568LI,Fiat,Punto,red,2021
AJ581ML,Volkswagen,Golf,blue,2022
AJ594NO,Toyota,Yaris,white,2023
AJ607OS,Ford,Focus,black,2024
AJ620PV,Renault,Clio,grey,2005
AJ633RY,Peugeot,208,silver,2006
AJ646SB,Opel,Corsa,green,2007
AJ659TE,BMW,Serie 1,yellow,2008
AJ672UH,Mercedes,Classe A,orange,2009
AJ685VK,Audi,A1,brown,2010
AJ698WN,Honda,Civic,beige,2011
AJ711XR,Hyundai,i10,purple,2012
AJ724YU,Kia,Picanto,red,2013
AJ737ZX,Nissan,Micra,blue,2014
AJ750AA,Seat,Ibiza,white,2015
AJ763BD,Skoda,Fabia,black,2016
AJ776CG,Volvo,V40,grey,2017
AJ789DJ,Mazda,2,silver,2018
AJ802EM,Suzuki,Swift,green,2019
AJ815FP,Citroen,C3,yellow,2020
AJ828GT,Dacia,Sandero,orange,2021
AJ841HW,Alfa Romeo,Giulietta,brown,2022
AJ854IZ,Lancia,Ypsilon,beige,2023
AJ867JC,Jeep,Renegade,purple,2024
AK880KF,Mini,Cooper,red,2005
AK893LI,Subaru,Impreza,blue,2006
AK906ML,Mitsubishi,Colt,white,2007
AK919NO,Tesla,Model 3,black,2008
AK932OS,Fiat,500,grey,2009
AK945PV,Volkswagen,Polo,silver,2010
AK958RY,Toyota,Corolla,green,2011
AK971SB,Ford,Fiesta,yellow,2012
AK984TE,Renault,Megane,orange,2013
AK997UH,Peugeot,308,brown,2014
AK110VK,Opel,Astra,beige,2015
AK123WN,BMW,Serie 3,purple,2016
AK136XR,Mercedes,Classe B,red,2017
AK149YU,Audi,A3,blue,2018
AK162ZX,Honda,Jazz,white,2019
AK175AA,Hyundai,i20,black,2020
AK188BD,Kia,Stonic,grey,2021
AK201CG,Nissan,Juke,silver,2022
AK214DJ,Seat,Arona,green,2023
AK227EM,Skoda,Scala,yellow,2024
AK240FP,Volvo,XC40,orange,2005
AK253GT,Mazda,3,brown,2006
AK266HW,Suzuki,Vitara,beige,2007
AK279IZ,Citroen,C4,purple,2008
AK292JC,Dacia,Duster,red,2009
AK305KF,Alfa Romeo,Giulia,blue,2010
AL318LI,Lancia,Ypsilon,white,2011
AL331ML,Jeep,Compass,black,2012
AL344NO,Mini,Countryman,grey,2013
AL357OS,Subaru,Forester,silver,2014
AL370PV,Mitsubishi,ASX,green,2015
AL383RY,Tesla,Model Y,yellow,2016
AL396SB,Fiat,Panda,orange,2017
AL409TE,Volkswagen,Passat,brown,2018
AL422UH,Toyota,Auris,beige,2019
AL435VK,Ford,Kuga,purple,2020
AL448WN,Renault,Captur,red,2021
AL461XR,Peugeot,2008,blue,2022
AL474YU,Opel,Mokka,white,2023
AL487ZX,BMW,Serie 5,black,2024
AL500AA,Mercedes,Classe C,grey,2005
AL513BD,Audi,A4,silver,2006
AL526CG,Honda,HR-V,green,2007
AL539DJ,Hyundai,i30,yellow,2008
AL552EM,Kia,Ceed,orange,2009
AL565FP,Nissan,Qashqai,brown,2010
AL578GT,Seat,Leon,beige,2011
AL591HW,Skoda,Octavia,purple,2012
AL604IZ,Volvo,V60,red,2013
AL617JC,Mazda,CX-3,blue,2014
AL630KF,Suzuki,Ignis,white,2015
AL643LI,Citroen,C5 Aircross,black,2016
AM656ML,Dacia,Logan,grey,2017
AM669NO,Alfa Romeo,Stelvio,silver,2018
AM682OS,Lancia,Ypsilon,green,2019
AM695PV,Jeep,Cherokee,yellow,2020
AM708RY,Mini,Clubman,orange,2021
AM721SB,Subaru,Outback,brown,2022
AM734TE,Mitsubishi,Eclipse Cross,beige,2023
AM747UH,Tesla,Model S,purple,2024
AM760VK,Fiat,Tipo,red,2005
AM773WN,Volkswagen,Tiguan,blue,2006
AM786XR,Toyota,RAV4,white,2007
AM799YU,Ford,Puma,black,2008
AM812ZX,Renault,Kadjar,grey,2009
AM825AA,Peugeot,3008,silver,2010
AM838BD,Opel,Crossland,green,2011
AM851CG,BMW,X1,yellow,2012
AM864DJ,Mercedes,GLA,orange,2013
AM877EM,Audi,Q3,brown,2014
AM890FP,Honda,CR-V,beige,2015
AM903GT,Hyundai,Tucson,purple,2016
AM916HW,Kia,Sportage,red,2017
AM929IZ,Nissan,Leaf,blue,2018
AM942JC,Seat,Ateca,white,2019
AM955KF,Skoda,Karoq,black,2020
AM968LI,Volvo,XC60,grey,2021
AM981ML,Mazda,CX-5,silver,2022
AN994NO,Suzuki,Baleno,green,2023
AN107OS,Citroen,Berlingo,yellow,2024
AN120PV,Dacia,Spring,orange,2005
AN133RY,Alfa Romeo,Tonale,brown,2006
AN146SB,Lancia,Ypsilon,beige,2007
AN159TE,Jeep,Wrangler,purple,2008
AN172UH,Mini,Paceman,red,2009
AN185VK,Subaru,XV,blue,2010
AN198WN,Mitsubishi,Outlander,white,2011
AN211XR,Tesla,Model X,black,2012
AN224YU,Fiat,Punto,grey,2013
AN237ZX,Volkswagen,Golf,silver,2014
AN250AA,Toyota,Yaris,green,2015
AN263BD,Ford,Focus,yellow,2016
AN276CG,Renault,Clio,orange,2017
AN289DJ,Peugeot,208,brown,2018
AN302EM,Opel,Corsa,beige,2019
AN315FP,BMW,Serie 1,purple,2020
AN328GT,Mercedes,Classe A,red,2021
AN341HW,Audi,A1,blue,2022
AN354IZ,Honda,Civic,white,2023
AN367JC,Hyundai,i10,black,2024
AN380KF,Kia,Picanto,grey,2005
AN393LI,Nissan,Micra,silver,2006
AN406ML,Seat,Ibiza,green,2007
AN419NO,Skoda,Fabia,yellow,2008
AO432OS,Volvo,V40,orange,2009
AO445PV,Mazda,2,brown,2010
AO458RY,Suzuki,Swift,beige,2011
AO471SB,Citroen,C3,purple,2012
AO484TE,Dacia,Sandero,red,2013
AO497UH,Alfa Romeo,Giulietta,blue,2014
AO510VK,Lancia,Ypsilon,white,2015
AO523WN,Jeep,Renegade,black,2016
AO536XR,Mini,Cooper,grey,2017
AO549YU,Subaru,Impreza,silver,2018
AO562ZX,Mitsubishi,Colt,green,2019
AO575AA,Tesla,Model 3,yellow,2020
AO588BD,Fiat,500,orange,2021
AO601CG,Volkswagen,Polo,brown,2022
AO614DJ,Toyota,Corolla,beige,2023
AO627EM,Ford,Fiesta,purple,2024
AO640FP,Renault,Megane,red,2005
AO653GT,Peugeot,308,blue,2006
AO666HW,Opel,Astra,white,2007
